cov_top_code,cov_top_label,size,level,run,layer,mode,reference
0.5641957756843269,0.8460563940237783,32,1,0,codebook,trained,phoneme
0.3476615355250618,0.9596605274050027,32,1,0,codebook,trained,word
0.8501949955418225,0.6747009712056717,32,1,0,codebook,random,phoneme
0.7061365561868809,0.8807170835115566,32,1,0,codebook,random,word
0.5572879390746313,0.8466041969828189,32,1,1,codebook,trained,phoneme
0.3427469274680901,0.9596640458897103,32,1,1,codebook,trained,word
0.8875900399781682,0.6207874206701853,32,1,1,codebook,random,phoneme
0.7670883999862448,0.8468158780362756,32,1,1,codebook,random,word
0.5562469676032797,0.8477495019600438,32,1,2,codebook,trained,phoneme
0.3427837530691365,0.9601965115057027,32,1,2,codebook,trained,word
0.8703119856060945,0.6462797446321432,32,1,2,codebook,random,phoneme
0.7328295773547442,0.8630265459626196,32,1,2,codebook,random,word
0.7576058770777153,0.7559064845585086,32,2,0,codebook,trained,phoneme
0.5548591458540723,0.9256322568741172,32,2,0,codebook,trained,word
0.9266296338197046,0.5360897784264294,32,2,0,codebook,random,phoneme
0.8329953728852144,0.7824372501279055,32,2,0,codebook,random,word
0.793597974698791,0.7321271741263091,32,2,1,codebook,trained,phoneme
0.6029033676965194,0.9134107549321745,32,2,1,codebook,trained,word
0.8977497281822329,0.595193381795693,32,2,1,codebook,random,phoneme
0.7790074421368763,0.8304949494702153,32,2,1,codebook,random,word
0.7644578536936136,0.7510499177337616,32,2,2,codebook,trained,phoneme
0.5673596838005006,0.9226578469126219,32,2,2,codebook,trained,word
0.8975608952367595,0.5958849939885672,32,2,2,codebook,random,phoneme
0.7761954853941091,0.8296756285400895,32,2,2,codebook,random,word
0.946823678477362,0.5438982643024856,32,3,0,codebook,trained,phoneme
0.8780360183541567,0.7735449128489607,32,3,0,codebook,trained,word
0.946804855346132,0.4787675488690937,32,3,0,codebook,random,phoneme
0.8748340321914768,0.7365170864296927,32,3,0,codebook,random,word
0.9425620071962281,0.5466530501534235,32,3,1,codebook,trained,phoneme
0.8659648208081846,0.7784252578111691,32,3,1,codebook,trained,word
0.941400043344356,0.4759816010255213,32,3,1,codebook,random,phoneme
0.8620747515117183,0.7401832990133153,32,3,1,codebook,random,word
0.9429628901522529,0.5487563651031618,32,3,2,codebook,trained,phoneme
0.8668656815739352,0.779061669286569,32,3,2,codebook,trained,word
1.0,0.08067998045251422,32,3,2,codebook,random,phoneme
1.0,0.03140701522934959,32,3,2,codebook,random,word
0.5078203194421178,0.8582345599924587,64,1,0,codebook,trained,phoneme
0.30039444960532846,0.963408619179175,64,1,0,codebook,trained,word
0.7943041339965241,0.7332210511101362,64,1,0,codebook,random,phoneme
0.617151093125824,0.9125012876142046,64,1,0,codebook,random,word
0.5048253706580075,0.8588046442362522,64,1,1,codebook,trained,phoneme
0.29804793201704644,0.9634782143732562,64,1,1,codebook,trained,word
0.8109688768634158,0.7161217534515624,64,1,1,codebook,random,phoneme
0.6420215156269676,0.9043019889352094,64,1,1,codebook,random,word
0.5050125333767072,0.8589921272629387,64,1,2,codebook,trained,phoneme
0.2991042369098322,0.963489157136543,64,1,2,codebook,trained,word
0.793225648298508,0.7379303431081455,64,1,2,codebook,random,phoneme
0.619475350225681,0.9138215856513003,64,1,2,codebook,random,word
0.7121860135082602,0.7813846906971601,64,2,0,codebook,trained,phoneme
0.48804180081705484,0.9368252392140604,64,2,0,codebook,trained,word
0.886186914074492,0.6113730417372611,64,2,0,codebook,random,phoneme
0.7539219901556837,0.84282163736753,64,2,0,codebook,random,word
0.7239205074153302,0.7750281441100156,64,2,1,codebook,trained,phoneme
0.5058742678353938,0.9335685827788709,64,2,1,codebook,trained,word
0.9247955048532374,0.5391303012091199,64,2,1,codebook,random,phoneme
0.8361852706307273,0.7900151084463488,64,2,1,codebook,random,word
0.7249276215732923,0.7748027190694959,64,2,2,codebook,trained,phoneme
0.5077069209459764,0.9334211411169534,64,2,2,codebook,trained,word
0.8615420542253382,0.6506008915204343,64,2,2,codebook,random,phoneme
0.7144430748311198,0.8697933781367919,64,2,2,codebook,random,word
0.9338955624493658,0.5623636306698075,64,3,0,codebook,trained,phoneme
0.8471943445181773,0.795158020339925,64,3,0,codebook,trained,word
0.8947669777150545,0.5942506636889548,64,3,0,codebook,random,phoneme
0.7650525039036339,0.8319797001616533,64,3,0,codebook,random,word
0.9289923574556969,0.5841063839684287,64,3,1,codebook,trained,phoneme
0.8388519276470839,0.8100938129162895,64,3,1,codebook,trained,word
0.8841080825813924,0.6318383787683151,64,3,1,codebook,random,phoneme
0.7517519114112429,0.8513878342287351,64,3,1,codebook,random,word
0.9379741959039415,0.559126674983351,64,3,2,codebook,trained,phoneme
