cov_top_code,cov_top_label,size,level,run,layer,mode,reference
0.40045465739933317,0.8789731790642544,512,1,2,codebook,trained,phoneme
0.2236913229041007,0.9703480045562574,512,1,2,codebook,trained,word
0.6704276209959276,0.8105735400326282,512,1,2,codebook,random,phoneme
0.47178403719115897,0.9459430121693692,512,1,2,codebook,random,word
0.5808033246732569,0.8356898756085406,512,2,0,codebook,trained,phoneme
0.3532568634382051,0.9560377776430397,512,2,0,codebook,trained,word
0.7343613741288723,0.7706429936676383,512,2,0,codebook,random,phoneme
0.5372435965338929,0.9302834298508604,512,2,0,codebook,random,word
0.5700276550232339,0.8395483717204062,512,2,1,codebook,trained,phoneme
0.34482226954205486,0.9574921568491088,512,2,1,codebook,trained,word
0.7234339913943753,0.7807726083706392,512,2,1,codebook,random,phoneme
0.5230457105954043,0.9343143317448408,512,2,1,codebook,random,word
0.5910686431054263,0.8333147438159177,512,2,2,codebook,trained,phoneme
0.3604045310075022,0.9554432248790441,512,2,2,codebook,trained,word
0.7248458195045264,0.7790940806991423,512,2,2,codebook,random,phoneme
0.5264554738021961,0.9336296967399305,512,2,2,codebook,random,word
0.8512508077393188,0.6795206236342329,512,3,0,codebook,trained,phoneme
0.6862471036420045,0.8851080311272229,512,3,0,codebook,trained,word
0.7573120156585567,0.7552153324295702,512,3,0,codebook,random,phoneme
0.5611495552367546,0.9231064013128617,512,3,0,codebook,random,word
0.8411325960956986,0.6907905273683892,512,3,1,codebook,trained,phoneme
0.6639024537102955,0.8913758119366317,512,3,1,codebook,trained,word
0.773350275932628,0.7429341390184259,512,3,1,codebook,random,phoneme
0.5813644677781531,0.9179530946440139,512,3,1,codebook,random,word
0.8403845560531024,0.6887172816843073,512,3,2,codebook,trained,phoneme
0.6656130117412807,0.8906307223755469,512,3,2,codebook,trained,word
0.7647941565688459,0.7497463862995603,512,3,2,codebook,random,phoneme
0.5703490062631635,0.9209946872561674,512,3,2,codebook,random,word
0.38631753482358855,0.8809352381724189,1024,1,0,codebook,trained,phoneme
0.21322864266593308,0.9710258239368973,1024,1,0,codebook,trained,word
0.6408071434918364,0.8244010603011319,1024,1,0,codebook,random,phoneme
0.4367589168837721,0.9514024589806777,1024,1,0,codebook,random,word
0.3836738185172016,0.8814960260341691,1024,1,1,codebook,trained,phoneme
0.2110290485533991,0.9712490822974434,1024,1,1,codebook,trained,word
0.6523378067486902,0.8176996720191807,1024,1,1,codebook,random,phoneme
0.4478523922512361,0.9489538738211011,1024,1,1,codebook,random,word
0.38528384201043425,0.8813746270493185,1024,1,2,codebook,trained,phoneme
0.2121079072338457,0.9711309764726755,1024,1,2,codebook,trained,word
0.6480083280119714,0.8192077292865271,1024,1,2,codebook,random,phoneme
0.44569055576184635,0.9493175812532292,1024,1,2,codebook,random,word
0.5796447880984825,0.8368312036475082,1024,2,0,codebook,trained,phoneme
0.350848695581882,0.9568162950532165,1024,2,0,codebook,trained,word
0.6990827084848801,0.791809416670654,1024,2,0,codebook,random,phoneme
0.49028078217782123,0.9389690723042506,1024,2,0,codebook,random,word
0.5636584789093227,0.842016036021391,1024,2,1,codebook,trained,phoneme
0.33670067836869777,0.9585065589284655,1024,2,1,codebook,trained,word
0.7020399317604338,0.7925047552152322,1024,2,1,codebook,random,phoneme
0.4941493034315044,0.9388344016596823,1024,2,1,codebook,random,word
0.5589384419597766,0.8429613919559006,1024,2,2,codebook,trained,phoneme
0.3330119769839566,0.9585377453873238,1024,2,2,codebook,trained,word
0.706901181413609,0.7897669029164658,1024,2,2,codebook,random,phoneme
0.5066828037700142,0.9379579593184759,1024,2,2,codebook,random,word
0.8505066902929834,0.6841636937614797,1024,3,0,codebook,trained,phoneme
0.6831455381613244,0.8872976132981233,1024,3,0,codebook,trained,word
0.7613091797442777,0.7527878226000032,1024,3,0,codebook,random,phoneme
0.5638322690819833,0.9228472749384138,1024,3,0,codebook,random,word
0.8256422790960288,0.7049578041247482,1024,3,1,codebook,trained,phoneme
0.6391932361475261,0.899001277233925,1024,3,1,codebook,trained,word
0.740888066459758,0.7666834357889885,1024,3,1,codebook,random,phoneme
0.5399679380231228,0.9288372050633908,1024,3,1,codebook,random,word
0.8376604245982754,0.6939077365367636,1024,3,2,codebook,trained,phoneme
0.6590781388924127,0.8931478125958585,1024,3,2,codebook,trained,word
0.75554188721072,0.7562730456712669,1024,3,2,codebook,random,phoneme
0.5518987908929733,0.924521931479177,1024,3,2,codebook,random,word
