,cor,run,codebook_size,model,layer,reference
89,0.026820885141543484,0,512,random,3,triphone_ed_rsa
90,0.2309721389516749,0,1024,trained,1,phoneme_ed_rsa
91,0.24653792262298987,0,1024,trained,1,biphone_ed_rsa
92,0.224111468976701,0,1024,trained,1,triphone_ed_rsa
93,0.052763003032425766,0,1024,random,1,phoneme_ed_rsa
94,0.04142229272402901,0,1024,random,1,biphone_ed_rsa
95,0.03542060722373157,0,1024,random,1,triphone_ed_rsa
96,0.31906229126647,0,1024,trained,2,phoneme_ed_rsa
97,0.37789678060478993,0,1024,trained,2,biphone_ed_rsa
98,0.374445991609486,0,1024,trained,2,triphone_ed_rsa
99,0.05062160020305321,0,1024,random,2,phoneme_ed_rsa
100,0.03708582047705655,0,1024,random,2,biphone_ed_rsa
101,0.03291016081842731,0,1024,random,2,triphone_ed_rsa
102,0.26967982795972073,0,1024,trained,3,phoneme_ed_rsa
103,0.33536422556388085,0,1024,trained,3,biphone_ed_rsa
104,0.34752678178655877,0,1024,trained,3,triphone_ed_rsa
105,0.035692905657192305,0,1024,random,3,phoneme_ed_rsa
106,0.03049206114493378,0,1024,random,3,biphone_ed_rsa
107,0.031081599680034887,0,1024,random,3,triphone_ed_rsa
108,0.20588271678780223,1,32,trained,1,phoneme_ed_rsa
109,0.1735677394833531,1,32,trained,1,biphone_ed_rsa
110,0.14424643670025136,1,32,trained,1,triphone_ed_rsa
111,-0.010438862791989299,1,32,random,1,phoneme_ed_rsa
112,-0.010867653001160016,1,32,random,1,biphone_ed_rsa
113,0.011814341192742103,1,32,random,1,triphone_ed_rsa
114,0.18440167404985575,1,32,trained,2,phoneme_ed_rsa
115,0.18686084964733166,1,32,trained,2,biphone_ed_rsa
116,0.1751047133211577,1,32,trained,2,triphone_ed_rsa
117,-0.0114982252513797,1,32,random,2,phoneme_ed_rsa
118,-0.014768260160805876,1,32,random,2,biphone_ed_rsa
119,0.005998674119535148,1,32,random,2,triphone_ed_rsa
120,0.15749957617303237,1,32,trained,3,phoneme_ed_rsa
121,0.18502360160272954,1,32,trained,3,biphone_ed_rsa
122,0.18248881748139556,1,32,trained,3,triphone_ed_rsa
123,-0.012824525732108837,1,32,random,3,phoneme_ed_rsa
124,-0.015170083481152096,1,32,random,3,biphone_ed_rsa
125,-0.0003054645103768361,1,32,random,3,triphone_ed_rsa
126,0.2338029239441124,1,64,trained,1,phoneme_ed_rsa
127,0.2099995029348993,1,64,trained,1,biphone_ed_rsa
128,0.1736221588157368,1,64,trained,1,triphone_ed_rsa
129,0.014086943257897567,1,64,random,1,phoneme_ed_rsa
130,6.762695902761567e-05,1,64,random,1,biphone_ed_rsa
131,0.015595814586036462,1,64,random,1,triphone_ed_rsa
132,0.22943268376153064,1,64,trained,2,phoneme_ed_rsa
133,0.231941478895264,1,64,trained,2,biphone_ed_rsa
134,0.21004564494311145,1,64,trained,2,triphone_ed_rsa
135,-0.012190390263164506,1,64,random,2,phoneme_ed_rsa
136,-0.014326440494715686,1,64,random,2,biphone_ed_rsa
137,0.004427161243983259,1,64,random,2,triphone_ed_rsa
138,0.1707864759833208,1,64,trained,3,phoneme_ed_rsa
139,0.20429021684715984,1,64,trained,3,biphone_ed_rsa
140,0.20183839250859875,1,64,trained,3,triphone_ed_rsa
141,0.006790906334705903,1,64,random,3,phoneme_ed_rsa
142,0.005126112894390561,1,64,random,3,biphone_ed_rsa
143,0.017230255061320275,1,64,random,3,triphone_ed_rsa
144,0.23805572318372412,1,128,trained,1,phoneme_ed_rsa
145,0.22120888168383462,1,128,trained,1,biphone_ed_rsa
146,0.18430787509413413,1,128,trained,1,triphone_ed_rsa
147,0.03185242435190043,1,128,random,1,phoneme_ed_rsa
148,0.020289034269377972,1,128,random,1,biphone_ed_rsa
149,0.024112809413583944,1,128,random,1,triphone_ed_rsa
150,0.27730631623411317,1,128,trained,2,phoneme_ed_rsa
151,0.29268402319638676,1,128,trained,2,biphone_ed_rsa
152,0.27201739068093356,1,128,trained,2,triphone_ed_rsa
153,0.01549819322481908,1,128,random,2,phoneme_ed_rsa
154,0.0073303126000540345,1,128,random,2,biphone_ed_rsa
155,0.01712289350881563,1,128,random,2,triphone_ed_rsa
156,0.2456584655793209,1,128,trained,3,phoneme_ed_rsa
157,0.2940563630648434,1,128,trained,3,biphone_ed_rsa
158,0.28779020406580175,1,128,trained,3,triphone_ed_rsa
159,0.01347563464661987,1,128,random,3,phoneme_ed_rsa
160,0.009242784934620085,1,128,random,3,biphone_ed_rsa
161,0.01892186816948562,1,128,random,3,triphone_ed_rsa
162,0.24885946479662263,1,256,trained,1,phoneme_ed_rsa
163,0.24473717086642946,1,256,trained,1,biphone_ed_rsa
164,0.21156387734426252,1,256,trained,1,triphone_ed_rsa
165,0.04437270023869453,1,256,random,1,phoneme_ed_rsa
166,0.02836625345665526,1,256,random,1,biphone_ed_rsa
167,0.027583347766790802,1,256,random,1,triphone_ed_rsa
168,0.30550548926602494,1,256,trained,2,phoneme_ed_rsa
169,0.3397781395823162,1,256,trained,2,biphone_ed_rsa
170,0.31929833037516425,1,256,trained,2,triphone_ed_rsa
171,0.035672366100040695,1,256,random,2,phoneme_ed_rsa
172,0.02788044593527574,1,256,random,2,biphone_ed_rsa
173,0.02971032349030242,1,256,random,2,triphone_ed_rsa
174,0.26215101134552793,1,256,trained,3,phoneme_ed_rsa
175,0.3159683041604625,1,256,trained,3,biphone_ed_rsa
176,0.31417875753488655,1,256,trained,3,triphone_ed_rsa
177,0.016678213651301683,1,256,random,3,phoneme_ed_rsa
178,0.011596368871414258,1,256,random,3,biphone_ed_rsa
179,0.022785770124612883,1,256,random,3,triphone_ed_rsa
180,0.2500057765193263,1,512,trained,1,phoneme_ed_rsa
181,0.25857770229513816,1,512,trained,1,biphone_ed_rsa
182,0.22892855025885822,1,512,trained,1,triphone_ed_rsa
183,0.05151646451853688,1,512,random,1,phoneme_ed_rsa
184,0.041096048032179804,1,512,random,1,biphone_ed_rsa
185,0.037875017726313485,1,512,random,1,triphone_ed_rsa
186,0.31520852166606816,1,512,trained,2,phoneme_ed_rsa
187,0.3607638569314459,1,512,trained,2,biphone_ed_rsa
188,0.3507049256741701,1,512,trained,2,triphone_ed_rsa
189,0.04221407909832094,1,512,random,2,phoneme_ed_rsa
190,0.02835029363183633,1,512,random,2,biphone_ed_rsa
191,0.025121500842519316,1,512,random,2,triphone_ed_rsa
192,0.29250326754452,1,512,trained,3,phoneme_ed_rsa
193,0.355612474768722,1,512,trained,3,biphone_ed_rsa
194,0.36459880020001983,1,512,trained,3,triphone_ed_rsa
195,0.027307785140214116,1,512,random,3,phoneme_ed_rsa
196,0.024224050229043104,1,512,random,3,biphone_ed_rsa
197,0.029810520436595527,1,512,random,3,triphone_ed_rsa
198,0.230346096766585,1,1024,trained,1,phoneme_ed_rsa
199,0.24410019702161148,1,1024,trained,1,biphone_ed_rsa
200,0.2199151110065238,1,1024,trained,1,triphone_ed_rsa
201,0.05459349251481429,1,1024,random,1,phoneme_ed_rsa
202,0.040686623914628975,1,1024,random,1,biphone_ed_rsa
203,0.03443863140261937,1,1024,random,1,triphone_ed_rsa
204,0.3270730928701423,1,1024,trained,2,phoneme_ed_rsa
205,0.38640721557734403,1,1024,trained,2,biphone_ed_rsa
206,0.3847008834017574,1,1024,trained,2,triphone_ed_rsa
207,0.03954175513445275,1,1024,random,2,phoneme_ed_rsa
208,0.0262066727798402,1,1024,random,2,biphone_ed_rsa
209,0.023440076661536025,1,1024,random,2,triphone_ed_rsa
210,0.31440497646212545,1,1024,trained,3,phoneme_ed_rsa
211,0.3863277403152774,1,1024,trained,3,biphone_ed_rsa
212,0.3949319127845337,1,1024,trained,3,triphone_ed_rsa
213,0.036528824842032466,1,1024,random,3,phoneme_ed_rsa
214,0.025630258828118237,1,1024,random,3,biphone_ed_rsa
215,0.02404446046323423,1,1024,random,3,triphone_ed_rsa
216,0.2051642312949605,2,32,trained,1,phoneme_ed_rsa
217,0.17176559352626403,2,32,trained,1,biphone_ed_rsa
218,0.14531753361429536,2,32,trained,1,triphone_ed_rsa
219,-0.010065085540781095,2,32,random,1,phoneme_ed_rsa
220,-0.018742476171697227,2,32,random,1,biphone_ed_rsa
221,0.007523654868275497,2,32,random,1,triphone_ed_rsa
222,0.19083954313342044,2,32,trained,2,phoneme_ed_rsa
223,0.1910954850221322,2,32,trained,2,biphone_ed_rsa
224,0.17941959631835533,2,32,trained,2,triphone_ed_rsa
225,-0.006480911840713663,2,32,random,2,phoneme_ed_rsa
226,-0.01248939954201728,2,32,random,2,biphone_ed_rsa
227,0.005621758337072721,2,32,random,2,triphone_ed_rsa
228,0.1719661668356877,2,32,trained,3,phoneme_ed_rsa
229,0.203794276908621,2,32,trained,3,biphone_ed_rsa
230,0.20307165117880868,2,32,trained,3,triphone_ed_rsa
231,0.0,2,32,random,3,phoneme_ed_rsa
232,0.0,2,32,random,3,biphone_ed_rsa
233,0.0,2,32,random,3,triphone_ed_rsa
234,0.23070485967075863,2,64,trained,1,phoneme_ed_rsa
235,0.203185871622784,2,64,trained,1,biphone_ed_rsa
236,0.16622283206592425,2,64,trained,1,triphone_ed_rsa
237,0.012001805349745893,2,64,random,1,phoneme_ed_rsa
238,0.0041989928013330844,2,64,random,1,biphone_ed_rsa
239,0.019594301196201404,2,64,random,1,triphone_ed_rsa
240,0.2521346750177521,2,64,trained,2,phoneme_ed_rsa
241,0.2637485110227813,2,64,trained,2,biphone_ed_rsa
242,0.24152123764914096,2,64,trained,2,triphone_ed_rsa
243,-0.00498518452188835,2,64,random,2,phoneme_ed_rsa
244,-0.009760322800362884,2,64,random,2,biphone_ed_rsa
245,0.010763253448148873,2,64,random,2,triphone_ed_rsa
246,0.20148822497249008,2,64,trained,3,phoneme_ed_rsa
247,0.24271581603081613,2,64,trained,3,biphone_ed_rsa
248,0.23960763629915527,2,64,trained,3,triphone_ed_rsa
249,-0.01055331645235366,2,64,random,3,phoneme_ed_rsa
250,-0.015025115555599624,2,64,random,3,biphone_ed_rsa
251,0.0025791922189739454,2,64,random,3,triphone_ed_rsa
252,0.23918669717287827,2,128,trained,1,phoneme_ed_rsa
253,0.22476535406976267,2,128,trained,1,biphone_ed_rsa
254,0.18635812409963448,2,128,trained,1,triphone_ed_rsa
255,0.037296318927726314,2,128,random,1,phoneme_ed_rsa
256,0.02448162701271132,2,128,random,1,biphone_ed_rsa
257,0.02834739206328237,2,128,random,1,triphone_ed_rsa
258,0.27024837111408656,2,128,trained,2,phoneme_ed_rsa
259,0.2871699336902328,2,128,trained,2,biphone_ed_rsa
260,0.2637804069089735,2,128,trained,2,triphone_ed_rsa
261,0.018871591492121,2,128,random,2,phoneme_ed_rsa
262,0.009928971127801054,2,128,random,2,biphone_ed_rsa
263,0.01779367873658896,2,128,random,2,triphone_ed_rsa
264,0.21003226990633322,2,128,trained,3,phoneme_ed_rsa
265,0.25148309964068905,2,128,trained,3,biphone_ed_rsa
266,0.25158258669840566,2,128,trained,3,triphone_ed_rsa
267,0.008232334489241279,2,128,random,3,phoneme_ed_rsa
268,0.005089625288745943,2,128,random,3,biphone_ed_rsa
269,0.023627870532136386,2,128,random,3,triphone_ed_rsa
270,0.25894311098578393,2,256,trained,1,phoneme_ed_rsa
271,0.25415371906315115,2,256,trained,1,biphone_ed_rsa
272,0.22019063088252308,2,256,trained,1,triphone_ed_rsa
273,0.027089684523853474,2,256,random,1,phoneme_ed_rsa
274,0.01273064568386713,2,256,random,1,biphone_ed_rsa
275,0.017340625448399358,2,256,random,1,triphone_ed_rsa
276,0.3068741993782882,2,256,trained,2,phoneme_ed_rsa
277,0.34025670773492034,2,256,trained,2,biphone_ed_rsa
278,0.3177883585735747,2,256,trained,2,triphone_ed_rsa
279,0.043647784670428735,2,256,random,2,phoneme_ed_rsa
280,0.028047745285994158,2,256,random,2,biphone_ed_rsa
281,0.026607796736991395,2,256,random,2,triphone_ed_rsa
282,0.22971120147089308,2,256,trained,3,phoneme_ed_rsa
283,0.27910712168731727,2,256,trained,3,biphone_ed_rsa
284,0.28384359171402196,2,256,trained,3,triphone_ed_rsa
285,0.02072128729799204,2,256,random,3,phoneme_ed_rsa
286,0.014426404811125641,2,256,random,3,biphone_ed_rsa
287,0.024843129836144787,2,256,random,3,triphone_ed_rsa
288,0.2367388512628945,2,512,trained,1,phoneme_ed_rsa
289,0.24646802203476248,2,512,trained,1,biphone_ed_rsa
290,0.21785286349879557,2,512,trained,1,triphone_ed_rsa
291,0.03956094270663553,2,512,random,1,phoneme_ed_rsa
292,0.026238704372391838,2,512,random,1,biphone_ed_rsa
293,0.02347657922420092,2,512,random,1,triphone_ed_rsa
294,0.3292944444778895,2,512,trained,2,phoneme_ed_rsa
295,0.3806828165467893,2,512,trained,2,biphone_ed_rsa
296,0.37216613983481667,2,512,trained,2,triphone_ed_rsa
297,0.03535871598543871,2,512,random,2,phoneme_ed_rsa
298,0.02724594677540618,2,512,random,2,biphone_ed_rsa
299,0.02622726471850384,2,512,random,2,triphone_ed_rsa
300,0.30261564430970567,2,512,trained,3,phoneme_ed_rsa
301,0.36856471052829287,2,512,trained,3,biphone_ed_rsa
302,0.3728548876859961,2,512,trained,3,triphone_ed_rsa
303,0.027670220878298964,2,512,random,3,phoneme_ed_rsa
304,0.023275633363954665,2,512,random,3,biphone_ed_rsa
305,0.027591462480862593,2,512,random,3,triphone_ed_rsa
306,0.2246706852981006,2,1024,trained,1,phoneme_ed_rsa
307,0.23583475822308977,2,1024,trained,1,biphone_ed_rsa
308,0.2121778081254368,2,1024,trained,1,triphone_ed_rsa
309,0.058739338398982835,2,1024,random,1,phoneme_ed_rsa
310,0.04136266603970152,2,1024,random,1,biphone_ed_rsa
311,0.03166027870334711,2,1024,random,1,triphone_ed_rsa
312,0.3263111185483071,2,1024,trained,2,phoneme_ed_rsa
313,0.38373618540689935,2,1024,trained,2,biphone_ed_rsa
314,0.37954666872372234,2,1024,trained,2,triphone_ed_rsa
315,0.037158034583688715,2,1024,random,2,phoneme_ed_rsa
316,0.029053741232643874,2,1024,random,2,biphone_ed_rsa
317,0.027358992976105098,2,1024,random,2,triphone_ed_rsa
318,0.30241181184309746,2,1024,trained,3,phoneme_ed_rsa
319,0.37045178588050826,2,1024,trained,3,biphone_ed_rsa
320,0.3797503126986223,2,1024,trained,3,triphone_ed_rsa
321,0.041851960604208434,2,1024,random,3,phoneme_ed_rsa
322,0.03321582716008146,2,1024,random,3,biphone_ed_rsa
323,0.031159465972873952,2,1024,random,3,triphone_ed_rsa
