rsa,mode,layer,reference,size,level,run,input
0.0,random,codebook,phoneme,256,1,2,trigram
0.0,random,codebook,word,256,1,2,trigram
0.09054612029134314,trained,codebook,phoneme,512,1,0,complete
-0.0033581062681348668,trained,codebook,word,512,1,0,complete
0.0028520284077860345,random,codebook,phoneme,512,1,0,complete
0.005059102677342393,random,codebook,word,512,1,0,complete
0.08437143820096848,trained,codebook,phoneme,512,1,0,trigram
0.03546145706128948,trained,codebook,word,512,1,0,trigram
0.0,random,codebook,phoneme,512,1,0,trigram
0.0,random,codebook,word,512,1,0,trigram
0.09623770873824539,trained,codebook,phoneme,512,1,1,complete
-0.005053396791739997,trained,codebook,word,512,1,1,complete
-0.0007727642349502173,random,codebook,phoneme,512,1,1,complete
0.01092800507483917,random,codebook,word,512,1,1,complete
0.09017564951958076,trained,codebook,phoneme,512,1,1,trigram
0.039614326366724725,trained,codebook,word,512,1,1,trigram
0.013188521045189264,random,codebook,phoneme,512,1,1,trigram
0.005117636781247307,random,codebook,word,512,1,1,trigram
0.07898787146104168,trained,codebook,phoneme,512,1,2,complete
-0.018996469807178312,trained,codebook,word,512,1,2,complete
-0.0005230591957927825,random,codebook,phoneme,512,1,2,complete
0.010305826745155606,random,codebook,word,512,1,2,complete
0.055738194361560335,trained,codebook,phoneme,512,1,2,trigram
0.020791125362559365,trained,codebook,word,512,1,2,trigram
0.0244184148759018,random,codebook,phoneme,512,1,2,trigram
0.00544734417178472,random,codebook,word,512,1,2,trigram
0.06640217038002444,trained,codebook,phoneme,1024,1,0,complete
-0.023398480697162233,trained,codebook,word,1024,1,0,complete
0.0,random,codebook,phoneme,1024,1,0,complete
0.0,random,codebook,word,1024,1,0,complete
0.03542649454459994,trained,codebook,phoneme,1024,1,0,trigram
0.013965007327367633,trained,codebook,word,1024,1,0,trigram
0.0,random,codebook,phoneme,1024,1,0,trigram
0.0,random,codebook,word,1024,1,0,trigram
0.08573168107383539,trained,codebook,phoneme,1024,1,1,complete
-0.008173074102480332,trained,codebook,word,1024,1,1,complete
0.0,random,codebook,phoneme,1024,1,1,complete
0.0,random,codebook,word,1024,1,1,complete
0.0646821305926368,trained,codebook,phoneme,1024,1,1,trigram
0.02918429174315648,trained,codebook,word,1024,1,1,trigram
0.005409366876495298,random,codebook,phoneme,1024,1,1,trigram
0.0011638874391134515,random,codebook,word,1024,1,1,trigram
0.08664071963561867,trained,codebook,phoneme,1024,1,2,complete
-0.029931895644636185,trained,codebook,word,1024,1,2,complete
0.0,random,codebook,phoneme,1024,1,2,complete
0.0,random,codebook,word,1024,1,2,complete
0.0521180046135632,trained,codebook,phoneme,1024,1,2,trigram
0.01790864638227267,trained,codebook,word,1024,1,2,trigram
0.02085254955042206,random,codebook,phoneme,1024,1,2,trigram
0.006610685441794122,random,codebook,word,1024,1,2,trigram
