vmeasure,size,level,run,layer,mode,reference
0.22570904147845797,32,1,0,codebook,trained,phoneme
0.1569181209803128,32,1,0,codebook,trained,word
0.07416880222795601,32,1,0,codebook,random,phoneme
0.04826287188678034,32,1,0,codebook,random,word
0.2279136415464531,32,1,1,codebook,trained,phoneme
0.15734275482493976,32,1,1,codebook,trained,word
0.061694928107289645,32,1,1,codebook,random,phoneme
0.03991400671966603,32,1,1,codebook,random,word
0.226317098319587,32,1,2,codebook,trained,phoneme
0.15535908224158568,32,1,2,codebook,trained,word
0.07945602919327728,32,1,2,codebook,random,phoneme
0.039491871762056395,32,1,2,codebook,random,word
0.15626575443113924,32,2,0,codebook,trained,phoneme
0.21065541872352672,32,2,0,codebook,trained,word
0.05038568118153058,32,2,0,codebook,random,phoneme
0.03169875617494609,32,2,0,codebook,random,word
0.13855621497373066,32,2,1,codebook,trained,phoneme
0.21346353741820323,32,2,1,codebook,trained,word
0.0560629168472801,32,2,1,codebook,random,phoneme
0.03747189320686984,32,2,1,codebook,random,word
0.14852283335299782,32,2,2,codebook,trained,phoneme
0.2082531256824742,32,2,2,codebook,trained,word
0.06446528360544068,32,2,2,codebook,random,phoneme
0.041097216789679834,32,2,2,codebook,random,word
0.043973731657053705,32,3,0,codebook,trained,phoneme
0.22671612226408352,32,3,0,codebook,trained,word
0.03495909472715828,32,3,0,codebook,random,phoneme
0.025449602032931173,32,3,0,codebook,random,word
0.04969911080853954,32,3,1,codebook,trained,phoneme
0.23003502227216124,32,3,1,codebook,trained,word
0.03997287151756697,32,3,1,codebook,random,phoneme
0.027948930860541687,32,3,1,codebook,random,word
0.047479130251244374,32,3,2,codebook,trained,phoneme
0.2303453232714741,32,3,2,codebook,trained,word
0.0,32,3,2,codebook,random,phoneme
4.70586366825877e-17,32,3,2,codebook,random,word
0.2377253396777317,64,1,0,codebook,trained,phoneme
0.1964707302438868,64,1,0,codebook,trained,word
0.10966042173536852,64,1,0,codebook,random,phoneme
0.07579452311828674,64,1,0,codebook,random,word
0.2399680541789461,64,1,1,codebook,trained,phoneme
0.19610928044225767,64,1,1,codebook,trained,word
0.0973316794233112,64,1,1,codebook,random,phoneme
0.061305038135081404,64,1,1,codebook,random,word
0.23816987141196552,64,1,2,codebook,trained,phoneme
0.19604279174431002,64,1,2,codebook,trained,word
0.09959109250593338,64,1,2,codebook,random,phoneme
0.06888763871109588,64,1,2,codebook,random,word
0.19293723960935893,64,2,0,codebook,trained,phoneme
0.2583230843829929,64,2,0,codebook,trained,word
0.06825143495471275,64,2,0,codebook,random,phoneme
0.04895631306997887,64,2,0,codebook,random,word
0.18684807308020393,64,2,1,codebook,trained,phoneme
0.2616733575732898,64,2,1,codebook,trained,word
0.04280888603664417,64,2,1,codebook,random,phoneme
0.03431115818081165,64,2,1,codebook,random,word
0.1890808177736027,64,2,2,codebook,trained,phoneme
0.26831977595277046,64,2,2,codebook,trained,word
0.07666161611672422,64,2,2,codebook,random,phoneme
0.060049458579839454,64,2,2,codebook,random,word
0.06319333260049548,64,3,0,codebook,trained,phoneme
0.2856903763807658,64,3,0,codebook,trained,word
0.07490254284165777,64,3,0,codebook,random,phoneme
0.054994653221422544,64,3,0,codebook,random,word
0.058006617480757076,64,3,1,codebook,trained,phoneme
0.269674838358305,64,3,1,codebook,trained,word
0.0650006528790404,64,3,1,codebook,random,phoneme
0.055348177544545074,64,3,1,codebook,random,word
0.06171507169234522,64,3,2,codebook,trained,phoneme
0.2871802730406123,64,3,2,codebook,trained,word
0.07085676097890496,64,3,2,codebook,random,phoneme
0.054766773534018785,64,3,2,codebook,random,word
0.24887631656775858,128,1,0,codebook,trained,phoneme
0.23405492321545338,128,1,0,codebook,trained,word
0.11703125367417262,128,1,0,codebook,random,phoneme
0.09280156350451635,128,1,0,codebook,random,word
0.2498914171496991,128,1,1,codebook,trained,phoneme
0.2339174368066403,128,1,1,codebook,trained,word
0.10946059101451591,128,1,1,codebook,random,phoneme
0.08993737739376106,128,1,1,codebook,random,word
0.24653783021271322,128,1,2,codebook,trained,phoneme
0.2299080225491559,128,1,2,codebook,trained,word
0.11376012592190263,128,1,2,codebook,random,phoneme
0.09299461722558154,128,1,2,codebook,random,word
0.21647037084310364,128,2,0,codebook,trained,phoneme
0.31739551056502885,128,2,0,codebook,trained,word
0.09740100715719632,128,2,0,codebook,random,phoneme
0.08751252174641568,128,2,0,codebook,random,word
0.21633870983285314,128,2,1,codebook,trained,phoneme
0.31285641221913324,128,2,1,codebook,trained,word
0.09404512036777903,128,2,1,codebook,random,phoneme
0.08133880061031366,128,2,1,codebook,random,word
0.2083589585579907,128,2,2,codebook,trained,phoneme
0.3115312558049577,128,2,2,codebook,trained,word
0.10170767554431695,128,2,2,codebook,random,phoneme
0.08861594416472665,128,2,2,codebook,random,word
0.0807262332845252,128,3,0,codebook,trained,phoneme
0.3329587389417571,128,3,0,codebook,trained,word
0.07726129960345685,128,3,0,codebook,random,phoneme
0.06486056826754402,128,3,0,codebook,random,word
0.09632943364429972,128,3,1,codebook,trained,phoneme
0.34556284186367464,128,3,1,codebook,trained,word
