size,level,run,mode,layer,input,within,abx
128,3,1,trained,codebook,fragments,True,0.6557483796455358
128,3,1,random,codebook,triplets,True,0.7830632693530635
128,3,1,random,codebook,fragments,True,0.6968815490386672
128,3,2,trained,codebook,triplets,True,0.7472468532299994
128,3,2,trained,codebook,fragments,True,0.646284478536178
128,3,2,random,codebook,triplets,True,0.7063446502432925
128,3,2,random,codebook,fragments,True,0.7661931086879161
256,1,0,trained,codebook,triplets,True,0.853731190088868
256,1,0,trained,codebook,fragments,True,0.8514267709043398
256,1,0,random,codebook,triplets,True,0.7826908295096497
256,1,0,random,codebook,fragments,True,0.7746216109569254
256,1,1,trained,codebook,triplets,True,0.8639932891875776
256,1,1,trained,codebook,fragments,True,0.8488011162327498
256,1,1,random,codebook,triplets,True,0.7700565260010486
256,1,1,random,codebook,fragments,True,0.7777237591518482
256,1,2,trained,codebook,triplets,True,0.8524821443208617
256,1,2,trained,codebook,fragments,True,0.8523055425874053
256,1,2,random,codebook,triplets,True,0.7943396078449917
256,1,2,random,codebook,fragments,True,0.7994527404583233
256,2,0,trained,codebook,triplets,True,0.8087148155804522
256,2,0,trained,codebook,fragments,True,0.7359211239164697
256,2,0,random,codebook,triplets,True,0.7657495748460167
256,2,0,random,codebook,fragments,True,0.75477197784157
256,2,1,trained,codebook,triplets,True,0.8042384389868004
256,2,1,trained,codebook,fragments,True,0.7533589061556764
256,2,1,random,codebook,triplets,True,0.7515164362097883
256,2,1,random,codebook,fragments,True,0.7640063965038332
256,2,2,trained,codebook,triplets,True,0.8184294152061006
256,2,2,trained,codebook,fragments,True,0.7859234245010973
256,2,2,random,codebook,triplets,True,0.7607710048136078
256,2,2,random,codebook,fragments,True,0.7690930374084849
256,3,0,trained,codebook,triplets,True,0.737592606103842
256,3,0,trained,codebook,fragments,True,0.6898094816630356
256,3,0,random,codebook,triplets,True,0.7384665446826028
256,3,0,random,codebook,fragments,True,0.7194323259782308
256,3,1,trained,codebook,triplets,True,0.7348266878252834
