epoch,mode,layer,size,level,run,reference,input,rsa,pooling
,random,rnn_bottom1,256,3,0,phoneme,complete,-0.0016495560681059184,mean
,random,rnn_bottom2,256,3,0,phoneme,complete,-0.0007424969644548761,mean
,random,rnn_top0,256,3,0,phoneme,complete,-0.0023919776209641395,mean
,random,mfcc,256,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,3,1,phoneme,complete,0.04214838914048331,mean
,trained,rnn_bottom1,256,3,1,phoneme,complete,0.14836330534621645,mean
,trained,rnn_bottom2,256,3,1,phoneme,complete,0.16389158989646607,mean
,trained,rnn_top0,256,3,1,phoneme,complete,0.19110874320516416,mean
,random,rnn_bottom0,256,3,1,phoneme,complete,-0.008502036095073119,mean
,random,rnn_bottom1,256,3,1,phoneme,complete,-0.008015152798684907,mean
,random,rnn_bottom2,256,3,1,phoneme,complete,-0.008292376396455043,mean
,random,rnn_top0,256,3,1,phoneme,complete,-0.007904600192079841,mean
,random,mfcc,256,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,3,2,phoneme,complete,0.0416147536308077,mean
,trained,rnn_bottom1,256,3,2,phoneme,complete,0.15077465989791822,mean
,trained,rnn_bottom2,256,3,2,phoneme,complete,0.15023666807689143,mean
,trained,rnn_top0,256,3,2,phoneme,complete,0.17983422379580508,mean
,random,rnn_bottom0,256,3,2,phoneme,complete,-0.0027738681548730364,mean
,random,rnn_bottom1,256,3,2,phoneme,complete,-0.002640382181743957,mean
,random,rnn_bottom2,256,3,2,phoneme,complete,-0.002649441414173024,mean
,random,rnn_top0,256,3,2,phoneme,complete,-0.0037639079664533843,mean
,random,mfcc,512,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,1,0,phoneme,complete,0.027560827227910565,mean
,trained,rnn_top0,512,1,0,phoneme,complete,0.12531683753591727,mean
,trained,rnn_top1,512,1,0,phoneme,complete,0.18982367071565603,mean
,trained,rnn_top2,512,1,0,phoneme,complete,0.2565541819332376,mean
,random,rnn_bottom0,512,1,0,phoneme,complete,-0.005556150206540377,mean
,random,rnn_top0,512,1,0,phoneme,complete,-0.0018266142456035165,mean
,random,rnn_top1,512,1,0,phoneme,complete,-0.0018441942718983265,mean
,random,rnn_top2,512,1,0,phoneme,complete,-0.0024340412811000274,mean
,random,mfcc,512,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,1,1,phoneme,complete,0.027118825289993265,mean
,trained,rnn_top0,512,1,1,phoneme,complete,0.12948554406588278,mean
,trained,rnn_top1,512,1,1,phoneme,complete,0.19932103596417017,mean
,trained,rnn_top2,512,1,1,phoneme,complete,0.2579894382620595,mean
,random,rnn_bottom0,512,1,1,phoneme,complete,-0.0067130482218334024,mean
,random,rnn_top0,512,1,1,phoneme,complete,-0.00719815638943018,mean
,random,rnn_top1,512,1,1,phoneme,complete,-0.006288606773176547,mean
,random,rnn_top2,512,1,1,phoneme,complete,-0.0063447098983037695,mean
,random,mfcc,512,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,1,2,phoneme,complete,0.03346268508159972,mean
,trained,rnn_top0,512,1,2,phoneme,complete,0.12280603280196198,mean
,trained,rnn_top1,512,1,2,phoneme,complete,0.19602107776269243,mean
,trained,rnn_top2,512,1,2,phoneme,complete,0.2524675890060961,mean
,random,rnn_bottom0,512,1,2,phoneme,complete,-0.0008255239698424548,mean
,random,rnn_top0,512,1,2,phoneme,complete,-0.00044747165554921394,mean
,random,rnn_top1,512,1,2,phoneme,complete,-0.001047197992848323,mean
,random,rnn_top2,512,1,2,phoneme,complete,-0.0012203492113952604,mean
,random,mfcc,512,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,2,0,phoneme,complete,0.042567050244548175,mean
,trained,rnn_bottom1,512,2,0,phoneme,complete,0.1084096727184677,mean
,trained,rnn_top0,512,2,0,phoneme,complete,0.1936717686303258,mean
,trained,rnn_top1,512,2,0,phoneme,complete,0.23626759676186834,mean
,random,rnn_bottom0,512,2,0,phoneme,complete,0.0005511980439457545,mean
,random,rnn_bottom1,512,2,0,phoneme,complete,0.00048515044076641176,mean
,random,rnn_top0,512,2,0,phoneme,complete,-0.0004987505467752192,mean
,random,rnn_top1,512,2,0,phoneme,complete,0.0005068700450242999,mean
,random,mfcc,512,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,2,1,phoneme,complete,0.042101500071015825,mean
,trained,rnn_bottom1,512,2,1,phoneme,complete,0.09600957279895315,mean
,trained,rnn_top0,512,2,1,phoneme,complete,0.18873178973445198,mean
,trained,rnn_top1,512,2,1,phoneme,complete,0.24325283947607362,mean
,random,rnn_bottom0,512,2,1,phoneme,complete,-0.006062220750343753,mean
,random,rnn_bottom1,512,2,1,phoneme,complete,-0.006410207076724212,mean
,random,rnn_top0,512,2,1,phoneme,complete,-0.006903169398182427,mean
,random,rnn_top1,512,2,1,phoneme,complete,-0.007439772423209826,mean
,random,mfcc,512,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,2,2,phoneme,complete,0.042067305744711965,mean
,trained,rnn_bottom1,512,2,2,phoneme,complete,0.10351845065444447,mean
,trained,rnn_top0,512,2,2,phoneme,complete,0.20377810871087798,mean
,trained,rnn_top1,512,2,2,phoneme,complete,0.23789016507765515,mean
,random,rnn_bottom0,512,2,2,phoneme,complete,-0.0001972008886971746,mean
,random,rnn_bottom1,512,2,2,phoneme,complete,-0.0007160755845181481,mean
,random,rnn_top0,512,2,2,phoneme,complete,0.0029964671508795654,mean
,random,rnn_top1,512,2,2,phoneme,complete,0.0034498869506956443,mean
,random,mfcc,512,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,3,0,phoneme,complete,0.03928365750389995,mean
,trained,rnn_bottom1,512,3,0,phoneme,complete,0.14253584182183265,mean
,trained,rnn_bottom2,512,3,0,phoneme,complete,0.14981503711166233,mean
,trained,rnn_top0,512,3,0,phoneme,complete,0.18272597587287134,mean
,random,rnn_bottom0,512,3,0,phoneme,complete,-0.004619359685457813,mean
,random,rnn_bottom1,512,3,0,phoneme,complete,-0.004026340044980244,mean
,random,rnn_bottom2,512,3,0,phoneme,complete,-0.0038881033971005226,mean
,random,rnn_top0,512,3,0,phoneme,complete,-0.004896170420496658,mean
,random,mfcc,512,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,3,1,phoneme,complete,0.03793454939383513,mean
,trained,rnn_bottom1,512,3,1,phoneme,complete,0.13656891762800002,mean
,trained,rnn_bottom2,512,3,1,phoneme,complete,0.14828666185320716,mean
,trained,rnn_top0,512,3,1,phoneme,complete,0.184929074173944,mean
,random,rnn_bottom0,512,3,1,phoneme,complete,-0.006173337806122971,mean
,random,rnn_bottom1,512,3,1,phoneme,complete,-0.005568713837429459,mean
,random,rnn_bottom2,512,3,1,phoneme,complete,-0.004367141152091927,mean
,random,rnn_top0,512,3,1,phoneme,complete,-0.007889392397173218,mean
,random,mfcc,512,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,512,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,512,3,2,phoneme,complete,0.03948021130374123,mean
,trained,rnn_bottom1,512,3,2,phoneme,complete,0.13450532788905722,mean
,trained,rnn_bottom2,512,3,2,phoneme,complete,0.16768166292876016,mean
,trained,rnn_top0,512,3,2,phoneme,complete,0.20119073764066223,mean
,random,rnn_bottom0,512,3,2,phoneme,complete,-0.004568063580899035,mean
,random,rnn_bottom1,512,3,2,phoneme,complete,-0.005134134729794735,mean
,random,rnn_bottom2,512,3,2,phoneme,complete,-0.005454826631470972,mean
,random,rnn_top0,512,3,2,phoneme,complete,-0.009310510067952056,mean
,random,mfcc,1024,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,1,0,phoneme,complete,0.03019236180462218,mean
,trained,rnn_top0,1024,1,0,phoneme,complete,0.13376716994070856,mean
,trained,rnn_top1,1024,1,0,phoneme,complete,0.21251861536420763,mean
,trained,rnn_top2,1024,1,0,phoneme,complete,0.26000172231090896,mean
,random,rnn_bottom0,1024,1,0,phoneme,complete,-0.003022658934341401,mean
,random,rnn_top0,1024,1,0,phoneme,complete,-0.000329543029179527,mean
,random,rnn_top1,1024,1,0,phoneme,complete,0.0009975824606693526,mean
,random,rnn_top2,1024,1,0,phoneme,complete,0.0007874640576893471,mean
,random,mfcc,1024,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,1,1,phoneme,complete,0.034536138623037296,mean
,trained,rnn_top0,1024,1,1,phoneme,complete,0.13234087106870818,mean
,trained,rnn_top1,1024,1,1,phoneme,complete,0.2174141115038162,mean
,trained,rnn_top2,1024,1,1,phoneme,complete,0.2576463646670598,mean
,random,rnn_bottom0,1024,1,1,phoneme,complete,0.0038837750648597243,mean
,random,rnn_top0,1024,1,1,phoneme,complete,0.005472150285704561,mean
,random,rnn_top1,1024,1,1,phoneme,complete,0.005860365321563432,mean
,random,rnn_top2,1024,1,1,phoneme,complete,0.006180412317685911,mean
,random,mfcc,1024,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,1,2,phoneme,complete,0.03219907694699444,mean
,trained,rnn_top0,1024,1,2,phoneme,complete,0.13099282408190957,mean
,trained,rnn_top1,1024,1,2,phoneme,complete,0.20416703935623834,mean
,trained,rnn_top2,1024,1,2,phoneme,complete,0.2583468279020895,mean
,random,rnn_bottom0,1024,1,2,phoneme,complete,0.0011587395208244007,mean
,random,rnn_top0,1024,1,2,phoneme,complete,0.0033471759910125827,mean
,random,rnn_top1,1024,1,2,phoneme,complete,0.0036797505798414456,mean
,random,rnn_top2,1024,1,2,phoneme,complete,0.003512303247123399,mean
,random,mfcc,1024,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,2,0,phoneme,complete,0.04365009987800078,mean
,trained,rnn_bottom1,1024,2,0,phoneme,complete,0.11880820001206209,mean
,trained,rnn_top0,1024,2,0,phoneme,complete,0.207220749515457,mean
,trained,rnn_top1,1024,2,0,phoneme,complete,0.24151020352695055,mean
,random,rnn_bottom0,1024,2,0,phoneme,complete,3.339781475758193e-05,mean
,random,rnn_bottom1,1024,2,0,phoneme,complete,0.0011394417925275086,mean
,random,rnn_top0,1024,2,0,phoneme,complete,-0.0005775140974907054,mean
,random,rnn_top1,1024,2,0,phoneme,complete,0.00024779324429391404,mean
,random,mfcc,1024,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,2,1,phoneme,complete,0.04253240217799993,mean
,trained,rnn_bottom1,1024,2,1,phoneme,complete,0.11126709404261922,mean
,trained,rnn_top0,1024,2,1,phoneme,complete,0.21337330072792798,mean
,trained,rnn_top1,1024,2,1,phoneme,complete,0.24403507976081334,mean
,random,rnn_bottom0,1024,2,1,phoneme,complete,-0.006288425667676076,mean
,random,rnn_bottom1,1024,2,1,phoneme,complete,-0.006290072170785752,mean
,random,rnn_top0,1024,2,1,phoneme,complete,-0.005769029579681886,mean
,random,rnn_top1,1024,2,1,phoneme,complete,-0.004599699230472779,mean
,random,mfcc,1024,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,2,2,phoneme,complete,0.043987227379606475,mean
,trained,rnn_bottom1,1024,2,2,phoneme,complete,0.11185150253781737,mean
,trained,rnn_top0,1024,2,2,phoneme,complete,0.21594864002116737,mean
,trained,rnn_top1,1024,2,2,phoneme,complete,0.24427507765771583,mean
,random,rnn_bottom0,1024,2,2,phoneme,complete,-0.0050289456305780775,mean
,random,rnn_bottom1,1024,2,2,phoneme,complete,-0.004742639234284278,mean
,random,rnn_top0,1024,2,2,phoneme,complete,-0.004690198459176118,mean
,random,rnn_top1,1024,2,2,phoneme,complete,-0.004998039389357159,mean
,random,mfcc,1024,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,3,0,phoneme,complete,0.04040795114136974,mean
,trained,rnn_bottom1,1024,3,0,phoneme,complete,0.14308901515231104,mean
,trained,rnn_bottom2,1024,3,0,phoneme,complete,0.155267804903474,mean
,trained,rnn_top0,1024,3,0,phoneme,complete,0.18758491667520433,mean
,random,rnn_bottom0,1024,3,0,phoneme,complete,-0.002117565724656633,mean
,random,rnn_bottom1,1024,3,0,phoneme,complete,-0.002796638287237809,mean
,random,rnn_bottom2,1024,3,0,phoneme,complete,-0.002409123304294613,mean
,random,rnn_top0,1024,3,0,phoneme,complete,0.0002981807716679979,mean
,random,mfcc,1024,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,3,1,phoneme,complete,0.03854394275775536,mean
,trained,rnn_bottom1,1024,3,1,phoneme,complete,0.14195757336123774,mean
,trained,rnn_bottom2,1024,3,1,phoneme,complete,0.17431724381168,mean
,trained,rnn_top0,1024,3,1,phoneme,complete,0.20717743684322137,mean
,random,rnn_bottom0,1024,3,1,phoneme,complete,-0.0037349698111429756,mean
,random,rnn_bottom1,1024,3,1,phoneme,complete,-0.003401933381032627,mean
,random,rnn_bottom2,1024,3,1,phoneme,complete,-0.003919126532939222,mean
,random,rnn_top0,1024,3,1,phoneme,complete,-0.0010993915190928931,mean
,random,mfcc,1024,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,1024,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,1024,3,2,phoneme,complete,0.03613859425937389,mean
,trained,rnn_bottom1,1024,3,2,phoneme,complete,0.14874759179259295,mean
,trained,rnn_bottom2,1024,3,2,phoneme,complete,0.17454442390544533,mean
,trained,rnn_top0,1024,3,2,phoneme,complete,0.204697870279169,mean
,random,rnn_bottom0,1024,3,2,phoneme,complete,0.0018226088658346038,mean
,random,rnn_bottom1,1024,3,2,phoneme,complete,0.0007738987757260607,mean
,random,rnn_bottom2,1024,3,2,phoneme,complete,0.001213275003061125,mean
,random,rnn_top0,1024,3,2,phoneme,complete,-0.0002032215587496543,mean
