epoch,mode,layer,size,level,run,reference,input,rsa,pooling
,random,rnn_bottom1,32,2,1,phoneme,complete,-5.0753707355523324e-05,mean
,random,rnn_top0,32,2,1,phoneme,complete,-0.005417112708844894,mean
,random,rnn_top1,32,2,1,phoneme,complete,-0.00499507183917508,mean
,random,mfcc,32,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,32,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,32,2,2,phoneme,complete,0.0519918266248066,mean
,trained,rnn_bottom1,32,2,2,phoneme,complete,0.11583109213216428,mean
,trained,rnn_top0,32,2,2,phoneme,complete,0.1698837675262563,mean
,trained,rnn_top1,32,2,2,phoneme,complete,0.22253406118033273,mean
,random,rnn_bottom0,32,2,2,phoneme,complete,-0.002769593083790971,mean
,random,rnn_bottom1,32,2,2,phoneme,complete,-0.003487208434980915,mean
,random,rnn_top0,32,2,2,phoneme,complete,-0.0051993192199248466,mean
,random,rnn_top1,32,2,2,phoneme,complete,-0.0048950588261012255,mean
,random,mfcc,32,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,32,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,32,3,0,phoneme,complete,0.048245152477044695,mean
,trained,rnn_bottom1,32,3,0,phoneme,complete,0.18880797808712294,mean
,trained,rnn_bottom2,32,3,0,phoneme,complete,0.1423457935849754,mean
,trained,rnn_top0,32,3,0,phoneme,complete,0.16493552818070373,mean
,random,rnn_bottom0,32,3,0,phoneme,complete,-0.004545087951403082,mean
,random,rnn_bottom1,32,3,0,phoneme,complete,-0.0038777281048909054,mean
,random,rnn_bottom2,32,3,0,phoneme,complete,-0.0034495506172683263,mean
,random,rnn_top0,32,3,0,phoneme,complete,-0.006278735944259038,mean
,random,mfcc,32,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,32,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,32,3,1,phoneme,complete,0.0446071688990417,mean
,trained,rnn_bottom1,32,3,1,phoneme,complete,0.18520406707868284,mean
,trained,rnn_bottom2,32,3,1,phoneme,complete,0.14690659887803095,mean
,trained,rnn_top0,32,3,1,phoneme,complete,0.16553821834544838,mean
,random,rnn_bottom0,32,3,1,phoneme,complete,-0.005870641701560126,mean
,random,rnn_bottom1,32,3,1,phoneme,complete,-0.006135586906053804,mean
,random,rnn_bottom2,32,3,1,phoneme,complete,-0.004601483431583226,mean
,random,rnn_top0,32,3,1,phoneme,complete,-0.014581374261717564,mean
,random,mfcc,32,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,32,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,32,3,2,phoneme,complete,0.04081754896653527,mean
,trained,rnn_bottom1,32,3,2,phoneme,complete,0.1877815972857779,mean
,trained,rnn_bottom2,32,3,2,phoneme,complete,0.15548610803592228,mean
,trained,rnn_top0,32,3,2,phoneme,complete,0.17240750184169215,mean
,random,rnn_bottom0,32,3,2,phoneme,complete,0.0007851869214849492,mean
,random,rnn_bottom1,32,3,2,phoneme,complete,0.0010293332225460674,mean
,random,rnn_bottom2,32,3,2,phoneme,complete,0.001751060083808444,mean
,random,rnn_top0,32,3,2,phoneme,complete,0.0006789589143524035,mean
,random,mfcc,64,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,1,0,phoneme,complete,0.0418247891011118,mean
,trained,rnn_top0,64,1,0,phoneme,complete,0.11336540946118166,mean
,trained,rnn_top1,64,1,0,phoneme,complete,0.18841547939413744,mean
,trained,rnn_top2,64,1,0,phoneme,complete,0.25692419440437425,mean
,random,rnn_bottom0,64,1,0,phoneme,complete,-0.0027868719147761635,mean
,random,rnn_top0,64,1,0,phoneme,complete,-0.0021475599892608298,mean
,random,rnn_top1,64,1,0,phoneme,complete,-0.002008850572589838,mean
,random,rnn_top2,64,1,0,phoneme,complete,-0.0020303072417191723,mean
,random,mfcc,64,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,1,1,phoneme,complete,0.039656354065068636,mean
,trained,rnn_top0,64,1,1,phoneme,complete,0.10924933079108635,mean
,trained,rnn_top1,64,1,1,phoneme,complete,0.19187855228124281,mean
,trained,rnn_top2,64,1,1,phoneme,complete,0.2594929422126502,mean
,random,rnn_bottom0,64,1,1,phoneme,complete,-0.00353280443973211,mean
,random,rnn_top0,64,1,1,phoneme,complete,-0.005009572334233585,mean
,random,rnn_top1,64,1,1,phoneme,complete,-0.004502461743269081,mean
,random,rnn_top2,64,1,1,phoneme,complete,-0.003853472051308026,mean
,random,mfcc,64,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,1,2,phoneme,complete,0.04416050533515749,mean
,trained,rnn_top0,64,1,2,phoneme,complete,0.11645765900360264,mean
,trained,rnn_top1,64,1,2,phoneme,complete,0.18896155597458,mean
,trained,rnn_top2,64,1,2,phoneme,complete,0.2535545515925688,mean
,random,rnn_bottom0,64,1,2,phoneme,complete,-0.008397130188715119,mean
,random,rnn_top0,64,1,2,phoneme,complete,-0.006736298534212148,mean
,random,rnn_top1,64,1,2,phoneme,complete,-0.0062366305950525515,mean
,random,rnn_top2,64,1,2,phoneme,complete,-0.006371817080940269,mean
,random,mfcc,64,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,2,0,phoneme,complete,0.044687087022956075,mean
,trained,rnn_bottom1,64,2,0,phoneme,complete,0.10933747645923016,mean
,trained,rnn_top0,64,2,0,phoneme,complete,0.1670687861772921,mean
,trained,rnn_top1,64,2,0,phoneme,complete,0.22316373663208502,mean
,random,rnn_bottom0,64,2,0,phoneme,complete,-0.002961918393362539,mean
,random,rnn_bottom1,64,2,0,phoneme,complete,-0.0024811415541637462,mean
,random,rnn_top0,64,2,0,phoneme,complete,-0.006897106791386519,mean
,random,rnn_top1,64,2,0,phoneme,complete,-0.006813725224196471,mean
,random,mfcc,64,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,2,1,phoneme,complete,0.04887346377248497,mean
,trained,rnn_bottom1,64,2,1,phoneme,complete,0.10715530127047843,mean
,trained,rnn_top0,64,2,1,phoneme,complete,0.16464144704493813,mean
,trained,rnn_top1,64,2,1,phoneme,complete,0.226667488755641,mean
,random,rnn_bottom0,64,2,1,phoneme,complete,-0.0006326220958175403,mean
,random,rnn_bottom1,64,2,1,phoneme,complete,0.0003198340896763666,mean
,random,rnn_top0,64,2,1,phoneme,complete,0.0007832960914876235,mean
,random,rnn_top1,64,2,1,phoneme,complete,0.001474066902163224,mean
,random,mfcc,64,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,2,2,phoneme,complete,0.04586793263028385,mean
,trained,rnn_bottom1,64,2,2,phoneme,complete,0.12712533733467357,mean
,trained,rnn_top0,64,2,2,phoneme,complete,0.18457021629406792,mean
,trained,rnn_top1,64,2,2,phoneme,complete,0.22634552021853538,mean
,random,rnn_bottom0,64,2,2,phoneme,complete,-0.00216231109472412,mean
,random,rnn_bottom1,64,2,2,phoneme,complete,-0.002110666024372581,mean
,random,rnn_top0,64,2,2,phoneme,complete,-0.0048249754163702755,mean
,random,rnn_top1,64,2,2,phoneme,complete,-0.004187679576537288,mean
,random,mfcc,64,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,3,0,phoneme,complete,0.03969422310990791,mean
,trained,rnn_bottom1,64,3,0,phoneme,complete,0.17784877166849883,mean
,trained,rnn_bottom2,64,3,0,phoneme,complete,0.15463763388143142,mean
,trained,rnn_top0,64,3,0,phoneme,complete,0.17027593821040413,mean
,random,rnn_bottom0,64,3,0,phoneme,complete,-0.00815412295978028,mean
,random,rnn_bottom1,64,3,0,phoneme,complete,-0.00888873060650571,mean
,random,rnn_bottom2,64,3,0,phoneme,complete,-0.008920658825322855,mean
,random,rnn_top0,64,3,0,phoneme,complete,-0.0057586349580763104,mean
,random,mfcc,64,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,3,1,phoneme,complete,0.04314448643574913,mean
,trained,rnn_bottom1,64,3,1,phoneme,complete,0.17835934245858331,mean
,trained,rnn_bottom2,64,3,1,phoneme,complete,0.1439122765598159,mean
,trained,rnn_top0,64,3,1,phoneme,complete,0.16396345801051848,mean
,random,rnn_bottom0,64,3,1,phoneme,complete,-0.00020496144640581347,mean
