mean_duration,mean_duration_labels,size,level,run,layer,mode,reference
1.8458913106655042,5.336927296192729,32,1,0,codebook,trained,phoneme
1.608762185182261,15.113261054514517,32,1,0,codebook,trained,word
135.83644140290846,5.336927296192729,32,1,0,codebook,random,phoneme
118.34762555517595,15.113261054514517,32,1,0,codebook,random,word
2.0301155991030266,5.336927296192729,32,1,1,codebook,trained,phoneme
1.7693959902949814,15.113261054514517,32,1,1,codebook,trained,word
8.715588877789608,5.336927296192729,32,1,1,codebook,random,phoneme
7.599651174270263,15.113261054514517,32,1,1,codebook,random,word
1.858282017614691,5.336927296192729,32,1,2,codebook,trained,phoneme
1.619756244111259,15.113261054514517,32,1,2,codebook,trained,word
793964.0,5.336927296192729,32,1,2,codebook,random,phoneme
692807.0,15.113261054514517,32,1,2,codebook,random,word
1.8542502557299865,5.336927296192729,64,1,0,codebook,trained,phoneme
1.6161477845842334,15.113261054514517,64,1,0,codebook,trained,word
158792.8,5.336927296192729,64,1,0,codebook,random,phoneme
138561.4,15.113261054514517,64,1,0,codebook,random,word
1.746299941714047,5.336927296192729,64,1,1,codebook,trained,phoneme
1.5219135321085802,15.113261054514517,64,1,1,codebook,trained,word
793964.0,5.336927296192729,64,1,1,codebook,random,phoneme
692807.0,15.113261054514517,64,1,1,codebook,random,word
1.93604424329913,5.336927296192729,64,1,2,codebook,trained,phoneme
1.687513548930822,15.113261054514517,64,1,2,codebook,trained,word
289.02948671277755,5.336927296192729,64,1,2,codebook,random,phoneme
252.2049508554787,15.113261054514517,64,1,2,codebook,random,word
1.5971146031975925,5.336927296192729,128,1,0,codebook,trained,phoneme
1.3919445638765104,15.113261054514517,128,1,0,codebook,trained,word
793964.0,5.336927296192729,128,1,0,codebook,random,phoneme
692807.0,15.113261054514517,128,1,0,codebook,random,word
1.5658433454556928,5.336927296192729,128,1,1,codebook,trained,phoneme
1.3646905642686333,15.113261054514517,128,1,1,codebook,trained,word
793964.0,5.336927296192729,128,1,1,codebook,random,phoneme
692807.0,15.113261054514517,128,1,1,codebook,random,word
1.7849388394673718,5.336927296192729,128,1,2,codebook,trained,phoneme
1.5556670798304233,15.113261054514517,128,1,2,codebook,trained,word
30.71546288057565,5.336927296192729,128,1,2,codebook,random,phoneme
26.79378891596086,15.113261054514517,128,1,2,codebook,random,word
1.6932480272979313,5.336927296192729,256,1,0,codebook,trained,phoneme
1.4757372754092424,15.113261054514517,256,1,0,codebook,trained,word
7.415996487983486,5.336927296192729,256,1,0,codebook,random,phoneme
6.4675180403468975,15.113261054514517,256,1,0,codebook,random,word
1.5948368331612546,5.336927296192729,256,1,1,codebook,trained,phoneme
1.3898642047380891,15.113261054514517,256,1,1,codebook,trained,word
24.255025355899065,5.336927296192729,256,1,1,codebook,random,phoneme
21.096437271619976,15.113261054514517,256,1,1,codebook,random,word
1.6056609191915514,5.336927296192729,256,1,2,codebook,trained,phoneme
1.399434818265187,15.113261054514517,256,1,2,codebook,trained,word
7.509780182361621,5.336927296192729,256,1,2,codebook,random,phoneme
6.546785228303598,15.113261054514517,256,1,2,codebook,random,word
1.613305292247046,5.336927296192729,512,1,0,codebook,trained,phoneme
1.4060780600864988,15.113261054514517,512,1,0,codebook,trained,word
333.4582108357833,5.336927296192729,512,1,0,codebook,random,phoneme
288.5493544356518,15.113261054514517,512,1,0,codebook,random,word
1.6057778263173437,5.336927296192729,512,1,1,codebook,trained,phoneme
1.3994998373865493,15.113261054514517,512,1,1,codebook,trained,word
14.165533729415333,5.336927296192729,512,1,1,codebook,random,phoneme
12.352363292741634,15.113261054514517,512,1,1,codebook,random,word
1.4619785480826772,5.336927296192729,512,1,2,codebook,trained,phoneme
1.274069238195945,15.113261054514517,512,1,2,codebook,trained,word
57.2391320020186,5.336927296192729,512,1,2,codebook,random,phoneme
49.93923448424998,15.113261054514517,512,1,2,codebook,random,word
1.451111411662786,5.336927296192729,1024,1,0,codebook,trained,phoneme
1.264574031957186,15.113261054514517,1024,1,0,codebook,trained,word
793964.0,5.336927296192729,1024,1,0,codebook,random,phoneme
692807.0,15.113261054514517,1024,1,0,codebook,random,word
1.4100576835644465,5.336927296192729,1024,1,1,codebook,trained,phoneme
1.2288649078183256,15.113261054514517,1024,1,1,codebook,trained,word
793964.0,5.336927296192729,1024,1,1,codebook,random,phoneme
692807.0,15.113261054514517,1024,1,1,codebook,random,word
1.4872612359813653,5.336927296192729,1024,1,2,codebook,trained,phoneme
1.2960177040814418,15.113261054514517,1024,1,2,codebook,trained,word
264654.6666666667,5.336927296192729,1024,1,2,codebook,random,phoneme
230935.66666666666,15.113261054514517,1024,1,2,codebook,random,word
