cond_ent_code,cond_ent_label,norm_cond_ent_code,norm_cond_ent_code2,num_uniq_ind,norm_cond_ent_label,size,level,run,layer,mode,reference
3.700742148825036,3.8340069923759077,0.7401484297650072,0.7401484297650072,32,0.7204169098149106,32,1,0,codebook,trained,phoneme
3.768406077814855,7.995023310051885,0.7536812155629711,0.7536812155629711,32,1.5022794685505982,32,1,0,codebook,trained,word
1.7751116394877104,4.677723131524671,0.35502232789754207,0.764498971090585,5,0.8789527118974864,32,1,0,codebook,random,phoneme
1.773628363003071,8.77201137341965,0.35472567260061416,0.7638601586795092,5,1.648276943434597,32,1,0,codebook,random,word
3.742957599124772,3.81987877795312,0.7485915198249544,0.7485915198249544,32,0.7177621925449872,32,1,1,codebook,trained,phoneme
3.8193288683527586,7.99115243015853,0.7638657736705518,0.7638657736705518,32,1.501552123155407,32,1,1,codebook,trained,word
1.4326979919065652,4.733149900439667,0.28653959838131304,0.7163489959532826,4,0.8893675029143442,32,1,1,codebook,random,phoneme
1.4252234945482756,8.824212628982016,0.2850446989096551,0.7126117472741378,4,1.658085654606872,32,1,1,codebook,random,word
3.7008278214894283,3.8340279061851605,0.7401655642978857,0.7401655642978857,32,0.7204208395578308,32,1,2,codebook,trained,phoneme
3.7845955970879728,8.011091953797647,0.7569191194175946,0.7569191194175946,32,1.5052987960310276,32,1,2,codebook,trained,word
1.3156819194130214,4.676940980397132,0.2631363838826043,0.8301028691936797,3,0.8788057442734235,32,1,2,codebook,random,phoneme
1.3715093242539704,8.82637342546753,0.2743018648507941,0.8653260399725138,3,1.658491672209325,32,1,2,codebook,random,word
4.0064730810549,4.179179673922747,0.8012946162109801,0.8012946162109801,32,0.7852754865172974,32,2,0,codebook,trained,phoneme
3.3478687452908744,7.613075600656677,0.6695737490581749,0.6695737490581749,32,1.4305107970117747,32,2,0,codebook,trained,word
1.0031371401078362,4.783338364359391,0.20062742802156724,0.6329090686066137,3,0.8987980068642076,32,2,0,codebook,random,phoneme
0.9992829718817067,8.872553380493427,0.19985659437634135,0.6304773591974788,3,1.6671689700236756,32,2,0,codebook,random,word
4.094470400727284,4.26624523480495,0.8188940801454567,0.8188940801454567,32,0.8016352642763852,32,2,1,codebook,trained,phoneme
3.3291083150031504,7.589985262233718,0.6658216630006301,0.6658216630006301,32,1.42617208028895,32,2,1,codebook,trained,word
1.3786446584147485,4.751996464381935,0.2757289316829497,0.8698279345962234,3,0.8929088066685933,32,2,1,codebook,random,phoneme
1.3685300391130528,8.83777651753312,0.27370600782261056,0.8634463203327355,3,1.6606343340157754,32,2,1,codebook,random,word
4.070220780934423,4.21648642671897,0.8140441561868845,0.8140441561868845,32,0.7922854934416792,32,2,2,codebook,trained,phoneme
3.3876465382183047,7.626947196206758,0.6775293076436609,0.6775293076436609,32,1.4331172951272617,32,2,2,codebook,trained,word
1.3749650491995287,4.727594963738888,0.2749930098399057,0.8675063596608256,3,0.8883237201721242,32,2,2,codebook,random,phoneme
1.3704527752373028,8.819048750297076,0.27409055504746055,0.8646594317617915,3,1.6571153523793953,32,2,2,codebook,random,word
4.627501079556118,4.721082986863314,0.9255002159112236,0.9255002159112236,32,0.8871001078347404,32,3,0,codebook,trained,phoneme
3.2877775950874457,7.472659841609456,0.6575555190174891,0.6575555190174891,32,1.4041264196688876,32,3,0,codebook,trained,word
0.8354494000478633,4.83189849091107,0.16708988000957264,0.8354494000478633,2,0.9079225432513732,32,3,0,codebook,random,phoneme
0.8119092461468923,8.906133419471693,0.16238184922937846,0.8119092461468923,2,1.673478720621495,32,3,0,codebook,random,word
4.525848940803478,4.695979638157863,0.9051697881606955,0.9051697881606955,32,0.8823831428066772,32,3,1,codebook,trained,phoneme
3.2009043746326737,7.459221070182987,0.6401808749265347,0.6401808749265347,32,1.4016012499960053,32,3,1,codebook,trained,word
0.8758177298936699,4.817542566781239,0.175163545978734,0.8758177298936699,2,0.9052250389119926,32,3,1,codebook,random,phoneme
0.855808584809332,8.894008308156549,0.17116171696186638,0.855808584809332,2,1.671200390080578,32,3,1,codebook,random,word
4.613314953682664,4.703427340806692,0.9226629907365329,0.9226629907365329,32,0.883782579724283,32,3,2,codebook,trained,phoneme
3.2662990397764484,7.446180867886597,0.6532598079552897,0.6532598079552897,32,1.3991509721899378,32,3,2,codebook,trained,word
0.0,4.935566486342708,0.0,,1,0.9274019487569135,32,3,2,codebook,random,phoneme
0.0,9.031011257580044,0.0,,1,1.6969434942677826,32,3,2,codebook,random,word
4.563147074135648,3.6540335872526297,0.7605245123559413,0.7605245123559413,64,0.6865995785931351,64,1,0,codebook,trained,phoneme
4.464471815350466,7.65007498103825,0.7440786358917443,0.7440786358917443,64,1.4374630480985786,64,1,0,codebook,trained,word
2.3768827009326476,4.512556775731465,0.39614711682210796,0.7498230083838479,9,0.8479176522633893,64,1,0,codebook,random,phoneme
2.3686702452604385,8.598492079796419,0.39477837421007306,0.7472322670671061,9,1.6156723515405564,64,1,0,codebook,random,word
4.567889950677262,3.641068014747127,0.7613149917795438,0.7613149917795438,64,0.6841633238609529,64,1,1,codebook,trained,phoneme
4.482816319127726,7.649192077841777,0.7471360531879543,0.7471360531879543,64,1.4372971489769197,64,1,1,codebook,trained,word
2.039290096621344,4.577758566440132,0.339881682770224,0.7889050986435665,6,0.8601691877118492,64,1,1,codebook,random,phoneme
2.061836825402925,8.693211357793722,0.3436394709004875,0.797627363966677,6,1.633470276711379,64,1,1,codebook,random,word
