,acc,maj_baseline,C,mode,level,run,size
0,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,32
1,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,32
2,0.2702702702702703,0.07728781412991939,1.0,random,1,0,32
3,0.47368421052631576,0.07728781412991939,1.0,trained,1,0,32
4,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,32
5,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,32
6,0.16358463726884778,0.07728781412991939,1.0,random,2,0,32
7,0.08297771455666192,0.07728781412991939,1.0,trained,2,0,32
8,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,32
9,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,32
10,0.18871503082029398,0.07728781412991939,1.0,random,3,0,32
11,0.05263157894736842,0.07728781412991939,1.0,trained,3,0,32
12,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,32
13,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,1,32
14,0.2019914651493599,0.07728781412991939,1.0,random,1,1,32
15,0.4874348032242769,0.07728781412991939,1.0,trained,1,1,32
16,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,32
17,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,1,32
18,0.24466571834992887,0.07728781412991939,1.0,random,2,1,32
19,0.08771929824561403,0.07728781412991939,1.0,trained,2,1,32
20,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,32
21,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,1,32
22,0.1891891891891892,0.07728781412991939,1.0,random,3,1,32
23,0.06069227121858701,0.07728781412991939,1.0,trained,3,1,32
24,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,2,32
25,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,2,32
26,0.2408724513987672,0.07728781412991939,1.0,random,1,2,32
27,0.4902797534376482,0.07728781412991939,1.0,trained,1,2,32
28,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,2,32
29,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,2,32
30,0.22949265054528212,0.07728781412991939,1.0,random,2,2,32
31,0.0953058321479374,0.07728781412991939,1.0,trained,2,2,32
32,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,2,32
33,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,2,32
34,0.07728781412991939,0.07728781412991939,1.0,random,3,2,32
35,0.051683262209578,0.07728781412991939,1.0,trained,3,2,32
36,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,64
37,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,64
38,0.3911806543385491,0.07728781412991939,1.0,random,1,0,64
39,0.5794215267899478,0.07728781412991939,1.0,trained,1,0,64
40,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,64
41,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,64
42,0.25367472735893787,0.07728781412991939,1.0,random,2,0,64
43,0.112375533428165,0.07728781412991939,1.0,trained,2,0,64
44,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,64
45,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,64
46,0.2702702702702703,0.07728781412991939,1.0,random,3,0,64
47,0.030820293978188716,0.07728781412991939,1.0,trained,3,0,64
48,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,64
49,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,1,64
50,0.3200568990042674,0.07728781412991939,1.0,random,1,1,64
51,0.5855855855855856,0.07728781412991939,1.0,trained,1,1,64
52,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,64
53,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,1,64
54,0.16737790422000948,0.07728781412991939,1.0,random,2,1,64
55,0.09815078236130868,0.07728781412991939,1.0,trained,2,1,64
56,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,64
57,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,1,64
58,0.26932195353247984,0.07728781412991939,1.0,random,3,1,64
59,0.03793266951161688,0.07728781412991939,1.0,trained,3,1,64
60,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,2,64
61,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,2,64
62,0.386439070649597,0.07728781412991939,1.0,random,1,2,64
63,0.5960170697012802,0.07728781412991939,1.0,trained,1,2,64
64,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,2,64
65,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,2,64
66,0.28402086296823137,0.07728781412991939,1.0,random,2,2,64
67,0.0990990990990991,0.07728781412991939,1.0,trained,2,2,64
68,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,2,64
69,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,2,64
70,0.2603129445234708,0.07728781412991939,1.0,random,3,2,64
71,0.034139402560455195,0.07728781412991939,1.0,trained,3,2,64
72,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,128
73,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,128
74,0.5443338074917022,0.07728781412991939,1.0,random,1,0,128
75,0.6737790422000949,0.07728781412991939,1.0,trained,1,0,128
76,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,128
77,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,128
78,0.4390706495969654,0.07728781412991939,1.0,random,2,0,128
79,0.14746325272641062,0.07728781412991939,1.0,trained,2,0,128
80,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,0,128
81,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,0,128
82,0.3309625414888573,0.07728781412991939,1.0,random,3,0,128
83,0.027501185395922237,0.07728781412991939,1.0,trained,3,0,128
84,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,128
85,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,1,128
86,0.5742057847321005,0.07728781412991939,1.0,random,1,1,128
87,0.7022285443338074,0.07728781412991939,1.0,trained,1,1,128
88,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,128
89,0.7965860597439545,0.07728781412991939,1.0,trained,mfcc,1,128
90,0.4016121384542437,0.07728781412991939,1.0,random,2,1,128
91,0.15599810336652442,0.07728781412991939,1.0,trained,2,1,128
92,0.7965860597439545,0.07728781412991939,1.0,random,mfcc,1,128
