,acc,maj_baseline,C,mode,level,run,size
72,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,128
73,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,128
74,0.3319108582266477,0.07728781412991939,1.0,random,1,0,128
75,0.21621621621621623,0.07728781412991939,1.0,trained,1,0,128
76,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,128
77,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,128
78,0.30440967283072545,0.07728781412991939,1.0,random,2,0,128
79,0.09720246562351825,0.07728781412991939,1.0,trained,2,0,128
80,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,128
81,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,128
82,0.2546230440967283,0.07728781412991939,1.0,random,3,0,128
83,0.08392603129445235,0.07728781412991939,1.0,trained,3,0,128
84,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,128
85,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,128
86,0.33760075865339023,0.07728781412991939,1.0,random,1,1,128
87,0.22807017543859648,0.07728781412991939,1.0,trained,1,1,128
88,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,128
89,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,128
90,0.2849691797060218,0.07728781412991939,1.0,random,2,1,128
91,0.08914177335229967,0.07728781412991939,1.0,trained,2,1,128
92,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,1,128
93,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,1,128
94,0.2622095779990517,0.07728781412991939,1.0,random,3,1,128
95,0.08013276434329066,0.07728781412991939,1.0,trained,3,1,128
96,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,128
97,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,128
98,0.319108582266477,0.07728781412991939,1.0,random,1,2,128
99,0.22617354196301565,0.07728781412991939,1.0,trained,1,2,128
100,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,128
101,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,128
102,0.3186344238975818,0.07728781412991939,1.0,random,2,2,128
103,0.08961593172119488,0.07728781412991939,1.0,trained,2,2,128
104,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,2,128
105,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,2,128
106,0.24703651019440492,0.07728781412991939,1.0,random,3,2,128
107,0.08487434803224277,0.07728781412991939,1.0,trained,3,2,128
108,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,256
109,0.8549075391180654,0.07728781412991939,1.0,trained,mfcc,0,256
110,0.3276434329065908,0.07728781412991939,1.0,random,1,0,256
111,0.24276908487434803,0.07728781412991939,1.0,trained,1,0,256
112,0.8549075391180654,0.07728781412991939,1.0,random,mfcc,0,256
