mean_duration,mean_duration_labels,size,level,run,layer,mode,reference
2.583525859207726,5.336927296192729,32,1,0,codebook,trained,phoneme
2.2516908636486255,15.113261054514517,32,1,0,codebook,trained,word
8.735246226290542,5.336927296192729,32,1,0,codebook,random,phoneme
7.615439576142634,15.113261054514517,32,1,0,codebook,random,word
2.547475350293743,5.336927296192729,32,1,1,codebook,trained,phoneme
2.2204356214785235,15.113261054514517,32,1,1,codebook,trained,word
11.82637968272883,5.336927296192729,32,1,1,codebook,random,phoneme
10.309474561390456,15.113261054514517,32,1,1,codebook,random,word
2.5230356609445606,5.336927296192729,32,1,2,codebook,trained,phoneme
2.1990242880540354,15.113261054514517,32,1,2,codebook,trained,word
10.100809119128797,5.336927296192729,32,1,2,codebook,random,phoneme
8.80727915284187,15.113261054514517,32,1,2,codebook,random,word
5.219189608477294,5.336927296192729,32,2,0,codebook,trained,phoneme
4.549739285761194,15.113261054514517,32,2,0,codebook,trained,word
18.770722019953663,5.336927296192729,32,2,0,codebook,random,phoneme
16.364875398606355,15.113261054514517,32,2,0,codebook,random,word
6.173519532221945,5.336927296192729,32,2,1,codebook,trained,phoneme
5.381108832758567,15.113261054514517,32,2,1,codebook,trained,word
13.346848891354414,5.336927296192729,32,2,1,codebook,random,phoneme
11.637556272256937,15.113261054514517,32,2,1,codebook,random,word
5.402218139756413,5.336927296192729,32,2,2,codebook,trained,phoneme
4.709160611477783,15.113261054514517,32,2,2,codebook,trained,word
13.28120974891688,5.336927296192729,32,2,2,codebook,random,phoneme
11.583464303628157,15.113261054514517,32,2,2,codebook,random,word
23.15506430633731,5.336927296192729,32,3,0,codebook,trained,phoneme
20.180216131193383,15.113261054514517,32,3,0,codebook,trained,word
26.46370241983868,5.336927296192729,32,3,0,codebook,random,phoneme
23.078181212524985,15.113261054514517,32,3,0,codebook,random,word
21.71376999863257,5.336927296192729,32,3,1,codebook,trained,phoneme
18.926050374255585,15.113261054514517,32,3,1,codebook,trained,word
24.41313572351024,5.336927296192729,32,3,1,codebook,random,phoneme
21.283085524698944,15.113261054514517,32,3,1,codebook,random,word
21.85903859919608,5.336927296192729,32,3,2,codebook,trained,phoneme
19.05986409529836,15.113261054514517,32,3,2,codebook,trained,word
793964.0,5.336927296192729,32,3,2,codebook,random,phoneme
692807.0,15.113261054514517,32,3,2,codebook,random,word
2.245570171593098,5.336927296192729,64,1,0,codebook,trained,phoneme
1.9574800524400442,15.113261054514517,64,1,0,codebook,trained,word
6.148373007883284,5.336927296192729,64,1,0,codebook,random,phoneme
5.359794213213678,15.113261054514517,64,1,0,codebook,random,word
2.2339256975003656,5.336927296192729,64,1,1,codebook,trained,phoneme
1.9472083643671214,15.113261054514517,64,1,1,codebook,trained,word
