rsa,mode,layer,reference,size,level,run,input
0.10828693198206726,trained,codebook,word,64,3,1,complete
-0.00016099755507770693,random,codebook,phoneme,64,3,1,complete
0.016375350716036904,random,codebook,word,64,3,1,complete
0.052983319362558415,trained,codebook,phoneme,64,3,1,trigram
0.030571086841020226,trained,codebook,word,64,3,1,trigram
0.008904747795765092,random,codebook,phoneme,64,3,1,trigram
0.0026075321173084274,random,codebook,word,64,3,1,trigram
0.18280223897512268,trained,codebook,phoneme,64,3,2,complete
0.12614142490610278,trained,codebook,word,64,3,2,complete
-0.007062887065223601,random,codebook,phoneme,64,3,2,complete
0.024690470585204176,random,codebook,word,64,3,2,complete
0.05636891006478317,trained,codebook,phoneme,64,3,2,trigram
0.030988500955806072,trained,codebook,word,64,3,2,trigram
0.013951937972663551,random,codebook,phoneme,64,3,2,trigram
0.005062880474721423,random,codebook,word,64,3,2,trigram
0.23885608989816343,trained,codebook,phoneme,128,1,0,complete
0.06352749474815732,trained,codebook,word,128,1,0,complete
0.03515927358819541,random,codebook,phoneme,128,1,0,complete
0.01509501276141897,random,codebook,word,128,1,0,complete
0.1660342891052262,trained,codebook,phoneme,128,1,0,trigram
0.08173995378291418,trained,codebook,word,128,1,0,trigram
0.05961298195737876,random,codebook,phoneme,128,1,0,trigram
0.020093456877986554,random,codebook,word,128,1,0,trigram
0.23497706365855747,trained,codebook,phoneme,128,1,1,complete
0.07049153880356634,trained,codebook,word,128,1,1,complete
0.034037333423223376,random,codebook,phoneme,128,1,1,complete
0.010217346053433296,random,codebook,word,128,1,1,complete
0.1664207023382545,trained,codebook,phoneme,128,1,1,trigram
0.08317171665089167,trained,codebook,word,128,1,1,trigram
0.05553904531020914,random,codebook,phoneme,128,1,1,trigram
0.017839261459862584,random,codebook,word,128,1,1,trigram
0.23344525331316618,trained,codebook,phoneme,128,1,2,complete
0.060359988230929924,trained,codebook,word,128,1,2,complete
0.04089607298750678,random,codebook,phoneme,128,1,2,complete
0.012421035769590446,random,codebook,word,128,1,2,complete
0.1647918373171559,trained,codebook,phoneme,128,1,2,trigram
0.0823980015994418,trained,codebook,word,128,1,2,trigram
0.04713709932450428,random,codebook,phoneme,128,1,2,trigram
0.015220724061186134,random,codebook,word,128,1,2,trigram
0.2670344366508224,trained,codebook,phoneme,128,2,0,complete
0.14825129051553804,trained,codebook,word,128,2,0,complete
